id,date_scanned,date_first_scan,date_last_attempt,scan_attempts
B94F79F803B9431TESTA0A39D8FAF1ts,Mon Oct 13 2025 12:58:49 GMT+0100 (British Summer Time),,Mon Oct 13 2025 12:58:50 GMT+0100 (British Summer Time),4
5008291ef514dab03e86af26d7bb1157,Thu Oct 16 2025 10:33:33 GMT+0100 (British Summer Time),,Thu Oct 16 2025 12:22:15 GMT+0100 (British Summer Time),9
3cc1d1da1f9af618b5def26cd340f458,Thu Oct 16 2025 10:47:27 GMT+0100 (British Summer Time),,Thu Oct 16 2025 10:51:04 GMT+0100 (British Summer Time),4
2fdd0ce2d9fb2732c924167e790ec3da,Thu Oct 16 2025 10:51:17 GMT+0100 (British Summer Time),,Thu Oct 16 2025 10:52:06 GMT+0100 (British Summer Time),4
x2x9qfuysh4prd52ybdp8t4bzn4sy537,Thu Oct 16 2025 10:55:21 GMT+0100 (British Summer Time),,,1
z5uerff36mtbvgx74txc339vthkugc5y,Thu Oct 16 2025 10:55:39 GMT+0100 (British Summer Time),,Thu Oct 16 2025 10:56:04 GMT+0100 (British Summer Time),2
vjn746ngsedaz5aeryxcvu5sq54an7zw,Thu Oct 16 2025 11:00:45 GMT+0100 (British Summer Time),,Thu Oct 16 2025 11:22:03 GMT+0100 (British Summer Time),4
nncg4vezptdetbutpestn7abh4cntbax,Thu Oct 16 2025 11:24:02 GMT+0100 (British Summer Time),,Thu Oct 16 2025 12:01:18 GMT+0100 (British Summer Time),4
